"tract","rPov_A6to17","wPov_A6to17","nPov_A6to17","rPov_A5","wPov_A5","nPov_A5","rPov_Alt5","wPov_Alt5","nPov_Alt5","rBirths_A15to19","wBirths_A15to19","nBirths_A15to19","nAll"
"010100",0.450434782608696,575,259,0.451612903225806,31,14,0.228295819935691,311,71,0.100917431192661,218,22,4189
"010201",0.461458333333333,960,443,0.944444444444444,72,68,0.479411764705882,680,326,0.125954198473282,262,33,7083
"010202",0.363095238095238,168,61,0,7,0,0.610894941634241,257,157,0,126,0,2502
"010300",0.40625,448,182,0.592592592592593,81,48,0.228438228438228,429,98,0,97,0,6213
"010400",0,108,0,0,91,0,0,232,0,0,741,0,4730
"010501",0,286,0,NA,0,0,0.111801242236025,161,18,0,49,0,3831
"010502",0,153,0,0,22,0,0,66,0,0,122,0,3690
"010503",0,25,0,0,28,0,0,36,0,0,72,0,2228
"010600",0.278382581648523,643,179,0.606060606060606,66,40,0.143266475644699,349,50,0,112,0,6513
"010701",0.285191956124314,547,156,0.224489795918367,49,11,0.062200956937799,418,26,0.255102040816327,98,25,3946
"010702",0.562118126272912,982,552,0.738095238095238,168,124,0.283536585365854,328,93,0,101,0,5274
"020100",0.263868065967017,667,176,0.673469387755102,49,33,0.276276276276276,333,92,0,122,0,3990
"020200",0.2776176753122,1041,289,0,125,0,0.15817223198594,569,90,0,234,0,6255
"020301",0.0295015259409969,983,29,0,77,0,0.0581717451523546,361,21,0.111111111111111,171,19,5239
"020302",0.0967153284671533,548,53,0,108,0,0.423645320197044,203,86,0,94,0,4651
"020400",0.117737003058104,654,77,0.588235294117647,85,50,0.161512027491409,291,47,0,90,0,4294
"020500",0.446829268292683,1025,458,0,128,0,0.273684210526316,285,78,0,175,0,6004
"020601",0.161676646706587,1336,216,0.568807339449541,109,62,0.2704,625,169,0,190,0,6697
"020602",0.395104895104895,572,226,1,10,10,0.374741200828157,483,181,0.115107913669065,139,16,4102
"020701",0.462222222222222,225,104,0,18,0,0.363295880149813,267,97,0,11,0,1893
"020702",0.285714285714286,1372,392,0.0819672131147541,183,15,0.280334728033473,717,201,0,33,0,8232
"020801",0.310416666666667,480,149,1,45,45,0.139204545454545,352,49,0,85,0,4512
"020802",0.413419913419913,1386,573,0,46,0,0.394339622641509,530,209,0,236,0,7942
"020901",0.461719670200236,849,392,0.62037037037037,108,67,0.327102803738318,535,175,0,167,0,5013
"020902",0.273118279569892,465,127,0,66,0,0.345070422535211,284,98,0,101,0,4195
"030101",0.612021857923497,183,112,0,17,0,0.172839506172839,81,14,0.0208333333333333,48,1,3727
"030102",0.181818181818182,88,16,0,19,0,0,122,0,0,23,0,2956
"030103",0,105,0,NA,0,0,0,13,0,0,154,0,2238
"030104",0,61,0,NA,0,0,0,44,0,0,985,0,3688
"030200",0.0378151260504202,476,18,0,75,0,0.0595611285266458,319,19,0,140,0,5274
"030300",0.273730684326711,453,124,0,8,0,0.511363636363636,176,90,0,69,0,3049
"030400",0.554347826086957,276,153,0,15,0,0.355140186915888,214,76,0,77,0,2683
"030500",0.390894819466248,637,249,0,13,0,0.233820459290188,479,112,0,47,0,6269
"030601",0.723076923076923,195,141,NA,0,0,0.63302752293578,109,69,0,14,0,3538
"030603",0.221864951768489,311,69,0,7,0,0.625,16,10,0,90,0,2048
"030604",0.359712230215827,139,50,1,2,2,0.0769230769230769,39,3,0,28,0,2961
"030701",0.411111111111111,90,37,NA,0,0,0.622950819672131,122,76,1,40,40,1734
"030702",0,76,0,NA,0,0,0,25,0,NA,0,0,1460
"030703",0,107,0,0,10,0,0,107,0,0,26,0,2579
"030706",0,19,0,NA,0,0,0,268,0,0,4,0,3460
"030800",0.413793103448276,261,108,0.3125,32,10,0,333,0,0,58,0,4405
"030900",0,74,0,0.10126582278481,79,8,0,207,0,0,27,0,3207
"031000",0,243,0,0,11,0,0,167,0,0,24,0,3522
"031100",0,144,0,NA,0,0,0,182,0,0,41,0,4136
"031200",0.582386363636364,352,205,1,15,15,0,151,0,0,34,0,4860
"031300",0.184842883548983,541,100,0.166666666666667,18,3,0.267062314540059,337,90,0,130,0,7543
"031400",0.261538461538462,130,34,0,17,0,0,135,0,NA,0,0,5260
"031501",0.719298245614035,171,123,0,8,0,0.515418502202643,227,117,0,50,0,3430
"031502",0.395465994962217,397,157,0.486111111111111,72,35,0.569852941176471,272,155,0.15,80,12,4386
"031700",0.618686868686869,396,245,NA,0,0,0.33160621761658,386,128,0,100,0,6525
"031800",0.155172413793103,116,18,NA,0,0,0.311688311688312,77,24,0,17,0,1717
"031900",0.132183908045977,174,23,0,31,0,0.138297872340426,94,13,0,31,0,2355
"032100",0.142424242424242,330,47,0,11,0,0.121654501216545,411,50,0,97,0,6767
"040100",0.193347193347193,481,93,0.269230769230769,26,7,0,223,0,0,87,0,3998
"040201",0.353901996370236,551,195,0,49,0,0.174168297455969,511,89,0,162,0,6195
"040202",0.367724867724868,756,278,0,58,0,0.525,400,210,0,134,0,6691
"040300",0.146153846153846,130,19,0,19,0,0.155251141552511,219,34,0,26,0,2656
"040401",0.254612546125461,271,69,0,62,0,0.228855721393035,201,46,0,51,0,2836
"040402",0.104247104247104,518,54,0,11,0,0,281,0,0,24,0,4701
"040600",0,160,0,0,45,0,0.0212765957446809,282,6,0,46,0,2684
"040700",0.152709359605911,203,31,0,14,0,0,244,0,0,11,0,3353
"040800",0,184,0,0,15,0,0,98,0,0,13,0,1815
"040900",0.114093959731544,149,17,NA,0,0,0,103,0,0,7,0,2118
"050100",0,320,0,NA,0,0,0,122,0,0,73,0,2406
"050200",0,469,0,0,37,0,0,460,0,0,40,0,5120
"050300",0.0635451505016722,299,19,0,38,0,0.0975609756097561,164,16,0,29,0,2566
"050500",0,641,0,0,106,0,0,377,0,0,50,0,5365
"050600",0,150,0,0,16,0,0.279661016949153,118,33,0,9,0,2414
"050700",0,126,0,0,10,0,0,156,0,0,83,0,1753
"050800",0,125,0,0,34,0,0,135,0,0,5,0,1427
"050900",0,165,0,0,23,0,0,247,0,0,16,0,1660
"051000",0.433962264150943,106,46,0,24,0,0.032967032967033,182,6,0,10,0,1610
"051100",0.223214285714286,112,25,0,14,0,0,156,0,NA,0,0,1526
"051200",0.113924050632911,158,18,0,16,0,0,148,0,0,34,0,1562
"051300",0.0284697508896797,281,8,0,53,0,0.11139896373057,386,43,0,77,0,2953
"051400",0.0898203592814371,167,15,0.35,20,7,0,200,0,0,5,0,2174
"060100",0.133079847908745,263,35,0,23,0,0,192,0,0,12,0,2596
"060200",0.22360248447205,161,36,1,23,23,0.072,125,9,0,17,0,2126
"060300",0.0227272727272727,352,8,0,35,0,0,306,0,0,17,0,3176
"060400",0.13216957605985,401,53,0,59,0,0,403,0,0,40,0,4003
"060500",0,63,0,0,12,0,0,43,0,0,3,0,1235
"060800",0,182,0,0,16,0,0,139,0,0,42,0,4840
"060900",0,242,0,NA,0,0,0,267,0,0,23,0,6758
"061000",NA,0,0,0,37,0,0,57,0,0,22,0,1716
"061100",0,25,0,NA,0,0,0,49,0,0,13,0,1309
"061200",0,60,0,0,16,0,0,167,0,0,18,0,2235
"061500",0,100,0,0,13,0,0,92,0,0,20,0,1859
"061800",0.302325581395349,43,13,0,3,0,0,13,0,0,98,0,1130
"061901",0,146,0,0,116,0,0,118,0,0,64,0,3785
"061902",0,81,0,0,5,0,0,10,0,0,12,0,4045
"062000",0.145161290322581,62,9,NA,0,0,0,128,0,NA,0,0,2897
"062100",0,17,0,0,8,0,0,160,0,0,59,0,3372
"062200",0,50,0,0.64,25,16,0,169,0,NA,0,0,2987
"062300",0.291891891891892,185,54,0,18,0,0,107,0,0,6,0,1716
"062400",0.0202020202020202,99,2,0,34,0,0.0132450331125828,151,2,0,26,0,1622
"062500",0,40,0,0.5,10,5,0.129032258064516,93,12,NA,0,0,1342
"062600",0.0772200772200772,259,20,0,44,0,0.074468085106383,282,21,0,6,0,2281
"062700",0.0769230769230769,195,15,0,36,0,0.147619047619048,210,31,0,17,0,2757
"062800",0,194,0,0.106666666666667,75,8,0.0235294117647059,340,8,0.2,30,6,3792
"062900",0,56,0,0,64,0,0,254,0,NA,0,0,4176
"063000",0,63,0,0,31,0,0,121,0,0,23,0,3055
"063100",0.0666666666666667,90,6,0,21,0,0,137,0,0,17,0,2399
"063200",0.103703703703704,405,42,0.78125,64,50,0,191,0,0,52,0,6580
"063301",NA,0,0,NA,0,0,0,49,0,NA,0,0,2626
"063302",0,38,0,0,33,0,0,178,0,0,68,0,4186
"063303",0,8,0,NA,0,0,0,26,0,0,8,0,1157
"063400",0,45,0,NA,0,0,0,41,0,NA,0,0,2158
"070101",0,500,0,NA,0,0,0,29,0,0,16,0,3988
"070102",0,60,0,NA,0,0,0,110,0,NA,0,0,2656
"070103",0,26,0,NA,0,0,0.09,100,9,NA,0,0,1679
"070200",0,257,0,0,15,0,0.118055555555556,144,17,NA,0,0,3937
"070300",0,109,0,0,30,0,0,192,0,0,71,0,3383
"070400",0,235,0,0,7,0,0,272,0,0,34,0,3440
"070500",0,214,0,0,12,0,0,167,0,0,27,0,3022
"070600",0,364,0,0,30,0,0,267,0,0,45,0,3083
"070700",0.0456730769230769,416,19,0,75,0,0.135371179039301,458,62,0,33,0,3983
"071000",0,135,0,0,52,0,0.0303030303030303,165,5,0,703,0,4277
"071100",0,119,0,0,41,0,0,142,0,0,218,0,2932
"071200",0.098159509202454,163,16,NA,0,0,0.0656934306569343,137,9,0,55,0,2016
"071300",0,467,0,0,20,0,0,102,0,0,51,0,3414
"071400",0,271,0,0,15,0,0.264705882352941,170,45,0,11,0,4357
"071500",0.101960784313725,255,26,NA,0,0,0.0841121495327103,214,18,0,29,0,5710
"071600",0.0643564356435644,202,13,0,20,0,0.136,125,17,NA,0,0,1715
"071700",0.0818965517241379,232,19,0,20,0,0.28,150,42,0,61,0,1813
"071800",0.0469798657718121,298,14,0,56,0,0,234,0,0,73,0,2670
"080100",0.0666666666666667,345,23,0,27,0,0,212,0,0,78,0,6657
"080201",0,68,0,NA,0,0,0,27,0,0,26,0,3235
"080202",0,153,0,0,5,0,0,160,0,0,36,0,3533
"080300",0.308176100628931,159,49,0,37,0,0.143769968051118,313,45,0,22,0,4480
"080400",0.800369685767098,1082,866,0.477272727272727,88,42,0.68848167539267,382,263,NA,0,0,4907
"081000",0,112,0,NA,0,0,0,23,0,0,327,0,7427
"081100",NA,0,0,NA,0,0,0,41,0,NA,0,0,3657
"081201",0,72,0,0,17,0,0,105,0,0,83,0,4552
"081202",0,87,0,NA,0,0,0,185,0,0,50,0,3221
"081300",0,14,0,NA,0,0,0,191,0,0,23,0,5053
"081401",0,100,0,NA,0,0,0,40,0,0,93,0,2516
"081402",0,146,0,NA,0,0,0,66,0,0,10,0,4389
"081403",0,119,0,0,8,0,0,225,0,0,32,0,7004
"081500",0.306122448979592,98,30,NA,0,0,0,163,0,0,33,0,4400
"081600",0,49,0,NA,0,0,0.364485981308411,107,39,0,27,0,3177
"081700",0,11,0,NA,0,0,0,237,0,NA,0,0,3607
"081800",0,44,0,0,71,0,0,291,0,NA,0,0,7488
"081900",0.866666666666667,60,52,NA,0,0,0.239669421487603,121,29,0,10,0,1152
"090100",0.0191938579654511,521,10,0,10,0,0,95,0,0,80,0,3262
"090200",0,1022,0,0,33,0,0,209,0,0,182,0,6406
"090300",0.05625,160,9,NA,0,0,0.0810810810810811,111,9,0,20,0,1325
"100100",0,683,0,0,12,0,0,572,0,0,122,0,5666
"100200",0.0234260614934114,683,16,0,114,0,0,387,0,0,75,0,6605
"100300",0.023936170212766,752,18,0,32,0,0,257,0,0,287,0,6029
"100400",0,472,0,0,41,0,0,196,0,0,31,0,3027
"100500",0,872,0,0,41,0,0,305,0,0,80,0,5156
"100600",0.0894526034712951,749,67,0,99,0,0.150793650793651,252,38,0,115,0,5254
"100700",0.285984848484849,528,151,0,28,0,0.152263374485597,243,37,0,86,0,4749
"110100",0.0349887133182844,886,31,0,65,0,0.0594795539033457,538,32,0,32,0,5923
"110200",0.303769401330377,451,137,0,9,0,0.147540983606557,183,27,0,30,0,3017
"110300",0.0681502086230876,719,49,0,95,0,0,225,0,0,121,0,5314
"110400",0,361,0,0,9,0,0,209,0,0,93,0,4439
"110501",0.0540184453227932,759,41,0,18,0,0.0415512465373961,361,15,0,138,0,4636
"110502",0.226519337016575,362,82,1,29,29,0.357723577235772,369,132,0.247619047619048,105,26,3646
"120100",0.0105263157894737,760,8,0,42,0,0,240,0,0,129,0,3993
"120200",0,816,0,0,65,0,0,318,0,0,49,0,4552
"120300",0.0140237324703344,927,13,0,37,0,0.142231947483589,457,65,0,141,0,6179
"120400",0.107994389901823,713,77,0.76,25,19,0,174,0,0,138,0,3754
"130100",0.038863976083707,669,26,0.219512195121951,41,9,0.129496402877698,139,18,0,115,0,5158
"130200",0,254,0,0,16,0,0.144578313253012,83,12,0,47,0,1598
"130300",0.076555023923445,627,48,0.472727272727273,110,52,0.173441734417344,369,64,0,60,0,5260
"140100",0.65424739195231,671,439,0.710743801652893,121,86,0.464373464373464,407,189,0,128,0,4079
"140200",0.263934426229508,610,161,0,9,0,0,199,0,0,504,0,5895
"140301",0.23134328358209,268,62,0,9,0,0.302564102564103,195,59,0,89,0,2748
"140302",0.299647473560517,851,255,0.444444444444444,81,36,0.456456456456456,333,152,0,66,0,4472
"140400",0.24237427864798,1213,294,0.452830188679245,53,24,0.139622641509434,530,74,0,283,0,7186
"140500",0.241228070175439,684,165,0.125,80,10,0.231607629427793,367,85,0,130,0,4121
"140601",0.182242990654206,642,117,0,43,0,0,81,0,0,123,0,2969
"140602",0.300523560209424,955,287,0,51,0,0.171681415929204,565,97,0.0338983050847458,236,8,5614
"140701",0.16,325,52,0,33,0,0.163636363636364,110,18,0,42,0,2385
"140702",0.429515418502203,908,390,0.423611111111111,144,61,0.284497444633731,587,167,0,119,0,6252
"140800",0.258682634730539,835,216,0.720930232558139,43,31,0.219626168224299,642,141,0,88,0,7209
"150200",0.390673575129534,965,377,0.488888888888889,90,44,0.181372549019608,408,74,0.247474747474747,198,49,7821
"150300",0.155321188878236,1043,162,0.252427184466019,103,26,0.196796338672769,437,86,0,230,0,7526
"150401",0.282558139534884,860,243,0,35,0,0.23125,160,37,0,358,0,4805
"150402",0.144465290806754,533,77,0,62,0,0.567796610169492,118,67,0,101,0,3695
"150501",0.0738137082601054,569,42,0,49,0,0.121495327102804,214,26,0,77,0,3743
"150502",0.171280276816609,578,99,NA,0,0,0,276,0,0,96,0,4290
"150600",0.296474358974359,624,185,0.615384615384615,26,16,0.127272727272727,275,35,0,93,0,3868
"150700",0.127324749642346,699,89,0,85,0,0.076555023923445,209,16,0,114,0,4621
"150800",0.179523141654979,713,128,0,115,0,0.0903426791277259,321,29,0,217,0,5451
"151001",0.7409200968523,413,306,1,36,36,0.594871794871795,195,116,0,64,0,2538
"151002",0.346715328467153,548,190,0,99,0,0.1252408477842,519,65,0,107,0,4685
"151100",0.247354497354497,756,187,0.467153284671533,137,64,0.329305135951662,331,109,0,168,0,5391
"151200",0.0802919708029197,411,33,0,32,0,0.0660377358490566,212,14,0,88,0,3680
"160100",0,286,0,0,42,0,0,134,0,0,69,0,2626
"160200",0,572,0,NA,0,0,0,292,0,0,94,0,3822
"160300",0.15702479338843,242,38,0.428571428571429,91,39,0.381132075471698,265,101,0,109,0,3877
"160400",0.385802469135802,648,250,0.821428571428571,28,23,0.45398773006135,326,148,0,81,0,5090
"160501",0.33375314861461,794,265,0,97,0,0.301932367149758,414,125,0,70,0,4498
"160502",0.141630901287554,699,99,0,74,0,0.207364341085271,516,107,0,81,0,4568
"160601",0.0570824524312896,473,27,0,15,0,0.136456211812627,491,67,0,81,0,3999
"160602",0.106685633001422,703,75,0,27,0,0.312,125,39,0,154,0,3983
"160700",0.0773109243697479,595,46,0.278350515463918,194,54,0.317286652078775,457,145,0,51,0,6008
"160800",0.102529960053262,751,77,0,26,0,0.102564102564103,390,40,0.16969696969697,165,28,5388
"160900",0,268,0,0,10,0,0.11214953271028,107,12,0,72,0,2272
"161000",0.0966183574879227,207,20,0,15,0,0.256880733944954,109,28,0,36,0,1726
"161100",0.0218068535825545,321,7,0,38,0,0.137931034482759,203,28,0,59,0,2026
"161200",0.133986928104575,306,41,0.2,60,12,0,276,0,0,63,0,2664
"161300",0.227083333333333,480,109,0.85,20,17,0.193771626297578,289,56,0.180952380952381,105,19,3943
"170100",0.0697674418604651,129,9,0,4,0,0.0810810810810811,74,6,0,19,0,1871
"170200",0.0849802371541502,506,43,0,54,0,0.550847457627119,236,130,0,151,0,4366
"170300",0.367174280879865,591,217,0,88,0,0.176991150442478,339,60,0,105,0,4918
"170400",0.214128035320088,453,97,0.666666666666667,30,20,0.24025974025974,154,37,0,103,0,3720
"170500",0,640,0,0,74,0,0.225806451612903,279,63,0.0564102564102564,195,11,4888
"170600",0.0883280757097792,317,28,0,22,0,0.145539906103286,213,31,0,31,0,2774
"170700",0.23989898989899,396,95,0,74,0,0.261306532663317,199,52,0,96,0,2831
"170800",0.0697674418604651,344,24,0,49,0,0.139830508474576,236,33,0,128,0,3750
"170900",0.0878378378378378,296,26,0,18,0,0,72,0,0,67,0,1729
"171000",0.0466367713004484,1115,52,0,64,0,0.147751605995717,467,69,0,221,0,7949
